,Kategori,2019,2020,2021
0,Basistilskudd,216.0,203.0,202.0
1,Basistilskudd personell og kompetanse,,,3.0
2,Forvaltningsmidler,307.7,196.9,
3,Tilskudd H.U. Sverdrup II,284.3,274.2,200.1
4,Tilskudd Kjemiidentifikasjonslab,107.1,55.7,88.8
5,CBRNE-satsningen,,,85.0
6,Tilskudd og overføringer,389.4,439.1,341.8
7,Strategiske FoU-midler,2131.1,2109.0,2159.0
8,Konsept- og forprosjekteringsmidler,838.2,696.2,635.1
9,Forsvarssektoren,3759.0,3988.0,5180.0
10,"Sivile og offentlige, inn- og utland",678.1,979.6,761.4
