ID,Vareflyt,År,Måned,Varenr,Landkode,Mengde,Verdi
241024,Eksport,2018,7,03021411,CA,81889,5056693
255643,Eksport,2018,7,03044100,AU,79,8391
255647,Eksport,2018,7,03044100,DK,155262,14160241
255676,Eksport,2018,7,03044100,GB,202396,17599378
255689,Eksport,2018,7,03044200,AU,532,52391
255757,Eksport,2018,7,03048100,AU,169684,18110416
255759,Eksport,2018,7,03048100,CA,4818,694841
255760,Eksport,2018,7,03048100,DK,66807,5120274
255783,Eksport,2018,7,03048100,GB,53846,6696067
255791,Eksport,2018,7,03048200,AU,19125,1994487
255792,Eksport,2018,7,03048200,CA,7389,1121683
255868,Eksport,2018,7,03053910,DK,33180,726073
255874,Eksport,2018,7,03054100,CA,3460,528416
255875,Eksport,2018,7,03054100,DK,25138,1763239
255901,Eksport,2018,7,03054300,CA,94752,14211657
256319,Eksport,2018,8,03021411,CA,125243,8295331
256812,Eksport,2018,8,03044100,AU,625,54695
256816,Eksport,2018,8,03044100,DK,180985,16577750
256850,Eksport,2018,8,03044100,GB,247083,21379882
256863,Eksport,2018,8,03044200,AU,626,60247
256865,Eksport,2018,8,03044200,CA,6,1031
256934,Eksport,2018,8,03048100,AU,129869,13447572
256935,Eksport,2018,8,03048100,CA,69257,8925071
256937,Eksport,2018,8,03048100,DK,16252,1240789
256963,Eksport,2018,8,03048100,GB,81393,7659625
257057,Eksport,2018,8,03053910,DK,381402,3540019
257064,Eksport,2018,8,03054100,CA,21500,3321595
257066,Eksport,2018,8,03054100,DK,6485,643176
257093,Eksport,2018,8,03054300,CA,63949,9592347
257516,Eksport,2018,9,03021411,CA,66183,4472219
257578,Eksport,2019,8,03021411,CA,98565,7315602
272632,Eksport,2019,1,03044100,AU,88,8289
272635,Eksport,2019,1,03044100,DK,156391,16702971
272664,Eksport,2019,1,03044100,GB,146706,16163440
272678,Eksport,2019,1,03044200,AU,8090,760889
272767,Eksport,2019,1,03048100,AU,174095,17640107
272769,Eksport,2019,1,03048100,CA,25175,3738597
272770,Eksport,2019,1,03048100,DK,121583,7301586
272794,Eksport,2019,1,03048100,GB,39110,4159777
272804,Eksport,2019,1,03048200,AU,480,58490
272889,Eksport,2019,1,03053910,DK,28306,589683
272895,Eksport,2019,1,03054100,CA,14711,1993760
272896,Eksport,2019,1,03054100,DK,3940,312513
272921,Eksport,2019,1,03054300,CA,108450,16605945
273374,Eksport,2019,2,03021411,CA,49297,3625990
273936,Eksport,2019,2,03044100,AU,1191,137869
273939,Eksport,2019,2,03044100,DK,72306,7639734
273973,Eksport,2019,2,03044100,GB,229145,24205520
273986,Eksport,2019,2,03044200,AU,2000,188562
274075,Eksport,2019,2,03048100,AU,108408,11471132
274077,Eksport,2019,2,03048100,CA,21764,3083548
274078,Eksport,2019,2,03048100,DK,20210,1532119
274101,Eksport,2019,2,03048100,GB,49794,4699369
274108,Eksport,2019,2,03048200,CA,32736,3854326
274212,Eksport,2019,2,03053910,DK,20604,487347
274218,Eksport,2019,2,03054100,CA,9456,1587828
274224,Eksport,2019,2,03054100,IS,762,106018
274246,Eksport,2019,2,03054300,CA,82304,11843108
274741,Eksport,2019,3,03021411,CA,19137,1333457
275344,Eksport,2019,3,03044100,DK,151469,15448925
275375,Eksport,2019,3,03044100,GB,301163,31801299
275490,Eksport,2019,3,03048100,AU,224703,23486837
275493,Eksport,2019,3,03048100,CA,20412,3249331
275495,Eksport,2019,3,03048100,DK,57494,3434260
275519,Eksport,2019,3,03048100,GB,39313,4516983
275529,Eksport,2019,3,03048200,AU,24751,2633743
275530,Eksport,2019,3,03048200,CA,15676,1647235
275630,Eksport,2019,3,03053910,DK,16340,380904
275638,Eksport,2019,3,03054100,CA,826,101507
275639,Eksport,2019,3,03054100,DK,620,105990
275669,Eksport,2019,3,03054300,CA,120010,18018655
276168,Eksport,2019,4,03021411,CA,38141,1993723
276711,Eksport,2019,4,03044100,DK,151069,15573636
